ra,dec,parallax,Distance,pmra,pmdec,Gmag,BR
58.69117575790545,24.27255291025787,75.41590938830625,13.25980165340361,-293.7708544369388,-221.82898637074743,14.394044876098633,3.994542121887207
56.58577328078651,26.214660370916178,69.4494337105679,14.398965500100733,386.9325647753011,-196.42591413842132,8.870097160339355,1.921886920928955
54.87435986544421,24.968213797498553,62.5426634042857,15.989085618817372,116.21023167119874,197.02808529084564,11.600573539733887,2.6187591552734375
56.99489697579758,23.48395672885455,41.31217135309483,24.20594142711617,-62.24336603169832,-131.29834834321534,14.684775352478027,3.3500404357910156
54.90192100972354,25.46997795168994,38.897049852280695,25.708890617609804,238.83530538324567,-578.7389016037985,11.542319297790527,2.5284719467163086
54.91982287419056,25.477601058318996,38.764665985703566,25.796688158458547,236.28394164557193,-575.2816440998201,11.864124298095703,2.6124582290649414
58.02428794598701,22.6701704435314,33.44591692184757,29.899015845093462,206.84791327614755,-339.44546191128796,7.386080265045166,0.8691344261169434
59.6865824584285,24.37405619832206,32.18443581222756,31.070919056473826,-165.8464400475134,-224.71396690616808,13.531076431274414,2.65354061126709
58.02402490558658,26.560837225122068,31.846560252054374,31.400565464067395,-62.744747545501156,-92.41982974209927,13.310718536376953,2.7140913009643555
57.109718800818364,25.32264962079747,30.85883203556204,32.40563346168091,14.92042533469844,-99.0949011561553,8.302774429321289,1.0168824195861816
56.373932006346095,22.221570628616313,28.633442746245965,34.92419716560652,-0.9755702465550229,-215.42939270438038,13.89224910736084,2.843123435974121
59.447763575777024,22.92443389575312,28.23978552460058,35.41103381004321,153.05705019145256,9.235090736344237,8.635757446289062,1.1180171966552734
55.73633824869755,25.26442292164698,28.13790512695181,35.539248408445054,471.45732238537494,-58.550736806414704,14.487322807312012,2.8787221908569336
54.297130724314215,25.98993192471892,27.01922897369479,37.01067861609129,237.5783969374,-270.9465248782416,7.0366387367248535,0.9099817276000977
55.89879012285933,26.35840672358352,26.742272045669992,37.39398052238109,173.11029185765943,-58.949439531516596,13.860556602478027,2.9853553771972656
59.51504529956168,22.901648272623564,26.53989702139856,37.679121331696244,153.7434371878109,-0.7655732879664663,13.057498931884766,2.7767562866210938
54.130977808831545,22.78229278814365,25.958904977725247,38.52242615233877,169.1256665244075,-44.57022539447961,12.978507041931152,2.758061408996582
58.046901329137924,25.162369950104416,25.221016839443404,39.649471960864396,-122.86287096177071,-164.20133559573767,6.62544584274292,0.735776424407959
59.66598155427633,25.16220887976526,25.058236581504676,39.90703802110694,-77.22230272070347,-52.97604880809399,13.447362899780273,2.719241142272949
54.58114426136048,25.52158602847189,24.637175066662248,40.589069050905444,68.1586048721511,102.18198728043856,14.605185508728027,3.0057334899902344
57.763697704805395,23.90344383675505,24.464327082342002,40.87584328946393,152.59885236477788,-48.0433610111473,9.787784576416016,1.4038124084472656
57.43103091374402,24.317714508057005,24.110708285312267,41.47534730902861,152.16223321200113,-46.57553298253615,12.850541114807129,2.8750486373901367
54.574118222109924,25.50498257150092,24.07138879179955,41.54309535894631,67.7791833197259,100.76666854112969,13.063626289367676,2.3873233795166016
55.40450494881551,23.343531989990737,24.01327383229716,41.64363455744335,156.44488917050984,-41.1509438268272,12.757081031799316,2.5253849029541016
57.5151478040288,22.59136836663528,23.18270366248802,43.13560724231238,154.81962794239064,-62.72549868470999,7.151183128356934,0.6725754737854004
57.87483474467652,26.003477812642824,22.79921525128851,43.86115877139607,-0.006377635061976861,-102.04803952954265,14.816926002502441,3.0129013061523438
59.21731732309642,22.477482595960335,22.619439544093293,44.20976028387645,70.66070298688174,-113.9091927076727,5.513705730438232,0.48424243927001953
58.17154351467567,25.804215691891365,22.489759048612417,44.46468269573117,139.90616240233325,-51.42005541580396,10.572748184204102,1.6320648193359375
59.86149966105374,23.385257124042287,22.40821667959589,44.62648743086119,133.2057848065938,-43.93241885651675,14.676656723022461,3.063218116760254
56.07068868460261,22.25970758280554,21.319344300615132,46.90575778970589,-61.968965416680085,-156.01785312274654,14.65781307220459,2.7231531143188477
59.12052817574144,22.673401479879114,21.25441896682515,47.04903961669547,176.82847821832934,-231.52706331655702,7.6674370765686035,0.8548922538757324
56.03663859333402,22.279169047700666,21.030299032659485,47.55044131550517,91.64927278353798,80.63840891202719,14.41500473022461,2.701727867126465
59.72779728473764,25.219608207286313,20.392166487034117,49.03843839426412,120.57438749438151,-44.75755130132989,13.010173797607422,2.4290828704833984
